antecedents,consequents,support,confidence,lift
suspicious,outcome_won + rule_big_position + rule_contrarian_entry,0.057889976153276866,0.9025641025641026,11.303895006469672
outcome_won + rule_big_position + rule_contrarian_entry,suspicious,0.057889976153276866,0.7250257466529351,11.303895006469672
outcome_won + rule_big_position,suspicious,0.060439108625935364,0.5372807017543859,8.376757197480881
suspicious,outcome_won + rule_big_position,0.060439108625935364,0.9423076923076923,8.376757197480881
rule_contrarian_entry + suspicious,outcome_won + rule_big_position,0.057889976153276866,0.9411764705882352,8.366701066391467
outcome_won + rule_big_position,rule_contrarian_entry + suspicious,0.057889976153276866,0.5146198830409356,8.366701066391467
outcome_won + rule_contrarian_entry,suspicious,0.061508099662856676,0.33082706766917297,5.157933294775401
suspicious,outcome_won + rule_contrarian_entry,0.061508099662856676,0.9589743589743591,5.1579332947754
outcome_won + rule_contrarian_entry,rule_big_position + suspicious,0.057889976153276866,0.31136665192392743,5.151741298022968
rule_big_position + suspicious,outcome_won + rule_contrarian_entry,0.057889976153276866,0.9578231292517007,5.151741298022968
suspicious,rule_big_position + rule_contrarian_entry,0.057889976153276866,0.9025641025641026,4.856673474018607
rule_big_position + rule_contrarian_entry,outcome_won + suspicious,0.057889976153276866,0.31150442477876106,4.856673474018607
outcome_won + suspicious,rule_big_position + rule_contrarian_entry,0.057889976153276866,0.9025641025641026,4.856673474018607
rule_big_position + rule_contrarian_entry,suspicious,0.057889976153276866,0.31150442477876106,4.856673474018607
suspicious,rule_big_position,0.060439108625935364,0.9423076923076923,4.234812951276366
outcome_won + suspicious,rule_big_position,0.060439108625935364,0.9423076923076923,4.234812951276366
rule_contrarian_entry + suspicious,rule_big_position,0.057889976153276866,0.9411764705882352,4.229729142211207
outcome_won + rule_contrarian_entry + suspicious,rule_big_position,0.057889976153276866,0.9411764705882352,4.229729142211207
rule_concentration + rule_contrarian_entry,rule_big_position,0.04933804785790642,0.8356545961002786,3.75550463531984
rule_concentration,rule_big_position + rule_contrarian_entry,0.04933804785790642,0.6944444444444444,3.7367871189773845
rule_concentration,rule_big_position,0.052956171367486225,0.7453703703703703,3.349759450877337
rule_contrarian_entry + suspicious,outcome_won,0.061508099662856676,1.0,1.9395534290271133
suspicious,outcome_won,0.06413946221527835,1.0,1.9395534290271133
rule_big_position + suspicious,outcome_won,0.060439108625935364,1.0,1.9395534290271133
rule_big_position + rule_contrarian_entry + suspicious,outcome_won,0.057889976153276866,1.0,1.9395534290271133
rule_big_position,outcome_won + rule_contrarian_entry,0.07984540745004523,0.3588322246858832,1.930012686601073
outcome_won + rule_contrarian_entry,rule_big_position,0.07984540745004523,0.4294559929234852,1.9300126866010727
suspicious,rule_contrarian_entry,0.061508099662856676,0.9589743589743591,1.8680261379925005
outcome_won + suspicious,rule_contrarian_entry,0.061508099662856676,0.9589743589743591,1.8680261379925005
rule_big_position + suspicious,rule_contrarian_entry,0.057889976153276866,0.9578231292517007,1.8657836096155584
outcome_won + rule_big_position + suspicious,rule_contrarian_entry,0.057889976153276866,0.9578231292517007,1.8657836096155584
rule_big_position + rule_concentration,rule_contrarian_entry,0.04933804785790642,0.9316770186335404,1.8148525105882563
rule_big_position,rule_contrarian_entry,0.18583998026478085,0.835181079083518,1.626884046569704
rule_contrarian_entry,rule_big_position,0.18583998026478085,0.3620054460996316,1.626884046569704
rule_concentration,rule_contrarian_entry,0.05904119726996135,0.8310185185185184,1.6187756212884352
outcome_won + rule_big_position,rule_contrarian_entry,0.07984540745004523,0.7097953216374269,1.382639901719165
rule_concentration,rule_small_wallet,0.02754707672066442,0.38773148148148145,1.3779084004372577
outcome_won,rule_small_wallet,0.15936189458103775,0.3090909090909091,1.098437915094841
rule_small_wallet,outcome_won,0.15936189458103775,0.5663354763296319,1.098437915094841
rule_big_position,outcome_won,0.11249074911602665,0.5055432372505543,0.98052811933078
rule_big_position + rule_contrarian_entry,outcome_won,0.07984540745004523,0.4296460176991151,0.8333214068961624
rule_contrarian_entry,outcome_won,0.18592221034454404,0.36216562550056064,0.7024395808153617
outcome_won,rule_contrarian_entry,0.18592221034454404,0.3606060606060606,0.7024395808153616
